"id","participant_id","question_id","response_value","questionnaire_type","timestamp"
"237","f259ebaa-9077-4d96-a54e-c9729999f11d","post_overall_difficulty","5","post","2025-04-24 10:51:00.689359+00"
"238","f259ebaa-9077-4d96-a54e-c9729999f11d","post_confidence","2","post","2025-04-24 10:51:00.689359+00"
"239","f259ebaa-9077-4d96-a54e-c9729999f11d","post_effort","7","post","2025-04-24 10:51:00.689359+00"
"240","f259ebaa-9077-4d96-a54e-c9729999f11d","post_engagement","5","post","2025-04-24 10:51:00.689359+00"
"241","6887c5b5-a2cc-4199-a180-a4ef5857b50f","post_overall_difficulty","5","post","2025-04-24 10:51:33.797376+00"
"242","6887c5b5-a2cc-4199-a180-a4ef5857b50f","post_confidence","2","post","2025-04-24 10:51:33.797376+00"
"243","6887c5b5-a2cc-4199-a180-a4ef5857b50f","post_effort","6","post","2025-04-24 10:51:33.797376+00"
"244","6887c5b5-a2cc-4199-a180-a4ef5857b50f","post_engagement","7","post","2025-04-24 10:51:33.797376+00"
"245","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","post_overall_difficulty","5","post","2025-04-24 10:53:34.510912+00"
"246","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","post_confidence","6","post","2025-04-24 10:53:34.510912+00"
"247","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","post_effort","5","post","2025-04-24 10:53:34.510912+00"
"248","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","post_engagement","7","post","2025-04-24 10:53:34.510912+00"
"249","66a531ce-d7d5-4a75-b229-2e7960f7fa97","post_overall_difficulty","5","post","2025-04-24 10:56:15.541437+00"
"250","66a531ce-d7d5-4a75-b229-2e7960f7fa97","post_confidence","4","post","2025-04-24 10:56:15.541437+00"
"251","66a531ce-d7d5-4a75-b229-2e7960f7fa97","post_effort","5","post","2025-04-24 10:56:15.541437+00"
"252","66a531ce-d7d5-4a75-b229-2e7960f7fa97","post_engagement","5","post","2025-04-24 10:56:15.541437+00"
"253","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","post_overall_difficulty","6","post","2025-04-24 10:56:24.970298+00"
"254","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","post_confidence","3","post","2025-04-24 10:56:24.970298+00"
"255","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","post_effort","6","post","2025-04-24 10:56:24.970298+00"
"256","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","post_engagement","7","post","2025-04-24 10:56:24.970298+00"
"257","d889c1e9-cb46-48fd-b45a-cc39d253530a","post_overall_difficulty","5","post","2025-04-24 10:58:49.219586+00"
"258","d889c1e9-cb46-48fd-b45a-cc39d253530a","post_confidence","2","post","2025-04-24 10:58:49.219586+00"
